Host Name,Planet Letter,Planet Name,Discovery Method,Year of Discovery,Orbital Period (days),Planet Mass (Earth Mass),Planet Radius (Earth Radii),Planet Density (g/cm^3),Equilibrium Temperature (K),Insolation Flux (Earth Flux)
HAT-P-46,b,HAT-P-46 b,Transit,2014,4.463129,156.684,14.392,0.28,1458,
HAT-P-49,b,HAT-P-49 b,Transit,2014,2.69155,699.226,17.822,0.75,2131,
HAT-P-5,b,HAT-P-5 b,Transit,2007,2.78849,311.4734,13.563,0.642,1539,
HAT-P-50,b,HAT-P-50 b,Transit,2015,3.1220109,429.0705,14.437,0.78,1862,
HAT-P-51,b,HAT-P-51 b,Transit,2015,4.2180278,98.20947,14.493,0.178,1192,
HAT-P-52,b,HAT-P-52 b,Transit,2015,2.7535953,259.98494,11.31,0.98,1218,
HAT-P-53,b,HAT-P-53 b,Transit,2015,1.9616241,471.65972,14.773,0.8,1778,
HAT-P-54,b,HAT-P-54 b,Transit,2015,3.799847,241.5508,10.581,1.118,818,
HAT-P-55,b,HAT-P-55 b,Transit,2015,3.5852467,184.97706,13.249,0.435,1313,
HAT-P-56,b,HAT-P-56 b,Transit,2015,2.79083,734.1873,16.926,0.75,1840,3515
HAT-P-57,b,HAT-P-57 b,Transit,2015,2.4653,448.1403,19.504,0.332,2200,
HAT-P-6,b,HAT-P-6 b,Transit,2007,3.85298,419.5356,16.589,0.558,1675,
HAT-P-65,b,HAT-P-65 b,Transit,2016,2.6054552,167.49641,21.185,0.096,1930,
HAT-P-66,b,HAT-P-66 b,Transit,2016,2.972086,248.86089,17.822,0.242,1896,
HAT-P-67,b,HAT-P-67 b,Transit,2017,4.8101025,108.0622,23.371,0.052,1903,
HAT-P-69,b,HAT-P-69 b,Transit,2019,4.7869491,1137.8314,18.786,1.02,1930,
HAT-P-7,b,HAT-P-7 b,Transit,2008,2.20474,584.8072,16.926,0.712,2733,4353.408
HAT-P-70,b,HAT-P-70 b,Transit,2019,2.74432452,2154.8874,20.961,1.54,2562,
HAT-P-8,b,HAT-P-8 b,Transit,2008,3.07634,406.8224,15.693,0.568,1700,
HAT-P-9,b,HAT-P-9 b,Transit,2008,3.92281072,238.05467,15.614,0.342,1540,931
HATS-1,b,HATS-1 b,Transit,2012,3.446459,589.55,14.594,1.03,1359,
HATS-10,b,HATS-10 b,Transit,2015,3.312846,167.17858,10.862,0.7,1407,
HATS-11,b,HATS-11 b,Transit,2016,3.619188,263.7989,18.03,0.315,1596,
HATS-12,b,HATS-12 b,Transit,2016,3.142702,759.6137,7.76,1.12,1446,
HATS-13,b,HATS-13 b,Transit,2015,3.0440499,172.58169,13.585,0.377,1244,
HATS-14,b,HATS-14 b,Transit,2015,2.7667641,340.39593,11.646,1.191,1276,
HATS-15,b,HATS-15 b,Transit,2016,1.74748753,689.6911,12.386,1.97,1505,
HATS-16,b,HATS-16 b,Transit,2016,2.686502,1039.3041,14.572,1.86,1592,
HATS-17,b,HATS-17 b,Transit,2016,16.254611,425.25654,8.709,3.5,814,72.7
HATS-18,b,HATS-18 b,Transit,2016,0.83784,629.14449,14.897,1.1169,2069,2990
HATS-2,b,HATS-2 b,Transit,2013,1.354133,427.463,13.092,1.05,1577,
HATS-22,b,HATS-22 b,Transit,2017,4.7228124,870.8542,10.682,3.89,858,
HATS-23,b,HATS-23 b,Transit,2017,2.1605156,467.2101,20.849,0.29,1654,
HATS-24,b,HATS-24 b,Transit,2017,1.3484978,718.2958,15.637,1.03,2166,
HATS-25,b,HATS-25 b,Transit,2016,4.2986432,194.82979,14.123,0.38,1277,
HATS-26,b,HATS-26 b,Transit,2016,3.3023881,206.5895,19.616,0.153,1918,
HATS-27,b,HATS-27 b,Transit,2016,4.637038,168.4499,16.814,0.18,1659,
HATS-28,b,HATS-28 b,Transit,2016,3.1810781,213.58176,13.384,0.48,1253,
HATS-29,b,HATS-29 b,Transit,2016,4.6058749,207.54299,14.022,0.411,1212,
HATS-3,b,HATS-3 b,Transit,2013,3.547851,340.382,15.48,0.51,1648,
HATS-30,b,HATS-30 b,Transit,2016,3.1743516,224.38798,13.171,0.543,1414,
HATS-31,b,HATS-31 b,Transit,2016,3.37796,279.6904,18.383,0.243,1823,
HATS-32,b,HATS-32 b,Transit,2016,2.8126548,292.4036,14,0.58,1437,
HATS-33,b,HATS-33 b,Transit,2016,2.5495551,378.85336,13.787,0.79,1429,
HATS-34,b,HATS-34 b,Transit,2016,2.1061607,299.07803,16.029,0.4,1445,
HATS-35,b,HATS-35 b,Transit,2016,1.8209993,388.38826,16.41,0.484,2037,
HATS-36,b,HATS-36 b,Transit,2018,4.175186,1022.14128,12.92,2.12,1203,561
HATS-37 A,b,HATS-37 A b,Transit,2020,4.3315366,31.46517,6.793,0.55,1085,229.7
HATS-38,b,HATS-38 b,Transit,2020,4.375021,23.51942,6.882,0.403,1294,464.7
HATS-39,b,HATS-39 b,Transit,2018,4.5776348,200.2329,17.598,0.202,1645,
HATS-4,b,HATS-4 b,Transit,2014,2.516729,420.471,11.433,1.55,1315,
HATS-40,b,HATS-40 b,Transit,2018,3.2642736,505.3497,17.71,0.49,2101,
HATS-41,b,HATS-41 b,Transit,2018,4.193649,3082.951,14.908,5.1,1710,
HATS-42,b,HATS-42 b,Transit,2018,2.292102,597.5204,15.693,0.83,1856,
HATS-43,b,HATS-43 b,Transit,2018,4.3888497,82.95363,13.227,0.191,1003,
HATS-44,b,HATS-44 b,Transit,2018,2.7439004,177.9848,11.96,0.56,1161,
HATS-45,b,HATS-45 b,Transit,2018,4.1876244,222.481,14.415,0.41,1518,
HATS-46,b,HATS-46 b,Transit,2018,4.7423729,54.98459,10.122,0.28,1054,
HATS-47,b,HATS-47 b,Transit,2020,3.9228038,117.27927,12.52,0.331,853,87.73
HATS-48 A,b,HATS-48 A b,Transit,2020,3.1316666,77.23269,8.967,0.589,955,137.6
HATS-49,b,HATS-49 b,Transit,2020,4.1480467,112.19399,8.575,0.986,835,80.45
HATS-5,b,HATS-5 b,Transit,2014,4.763387,75.323,10.223,0.39,1025,
HATS-50,b,HATS-50 b,Transit,2017,3.8297015,123.9537,12.666,0.33,,
HATS-51,b,HATS-51 b,Transit,2017,3.3488702,244.09344,15.805,0.34,1553,
HATS-52,b,HATS-52 b,Transit,2017,1.36665436,711.9392,15.491,1.06,1834,
HATS-53,b,HATS-53 b,Transit,2017,3.8537768,189.10885,15.02,0.303,1312,
HATS-54,b,HATS-54 b,Transit,2019,2.5441828,241.5508,11.96,0.77,1625,
HATS-55,b,HATS-55 b,Transit,2019,4.2042001,292.72143,14.022,0.587,1367,
HATS-56,b,HATS-56 b,Transit,2019,4.324799,191.33366,18.921,0.155,1902,
HATS-57,b,HATS-57 b,Transit,2019,2.350621,1000.21101,12.767,2.65,1413,
HATS-58 A,b,HATS-58 A b,Transit,2019,4.2180896,327.3649,12.274,0.96,1721,
HATS-59,b,HATS-59 b,Transit,2018,5.416081,256.17098,12.621,0.7,1128,269
HATS-59,c,HATS-59 c,Radial Velocity,2018,1422,4036.441,12.3,11.9,176,0.159
HATS-6,b,HATS-6 b,Transit,2015,3.3252725,101.38777,11.187,0.399,713,
HATS-60,b,HATS-60 b,Transit,2018,3.560829,210.40346,12.924,0.537,1528,903.9
HATS-61,b,HATS-61 b,Transit,2018,7.817953,1080.622,13.395,2.47,1226,374.2
HATS-62,b,HATS-62 b,Transit,2018,3.2768837,56.89157,11.825,0.076,1237,387.4
HATS-63,b,HATS-63 b,Transit,2018,3.0566527,305.1168,13.529,0.67,1398,634.1
HATS-64,b,HATS-64 b,Transit,2018,4.908897,305.1168,18.82,0.245,1793,1711
HATS-65,b,HATS-65 b,Transit,2018,3.105161,260.93843,16.825,0.3,1634,1178
HATS-66,b,HATS-66 b,Transit,2018,3.1414391,1694.0339,15.816,2.34,1998,2637
HATS-67,b,HATS-67 b,Transit,2018,1.6091788,460.8535,18.887,0.374,2193,3821
HATS-68,b,HATS-68 b,Transit,2018,3.5862202,410.0007,13.809,0.856,1741,1521
HATS-69,b,HATS-69 b,Transit,2018,2.2252577,183.38791,10.593,0.46,1296,466.6
HATS-7,b,HATS-7 b,Transit,2015,3.185315,38.1396,6.311,0.83,1084,
HATS-70,b,HATS-70 b,Transit,2019,1.8882378,4100.007,15.513,6.64,2730,9110
HATS-72,b,HATS-72 b,Transit,2020,7.3279474,39.85588,8.097,0.411,739,49.58
HATS-8,b,HATS-8 b,Transit,2015,3.583893,43.86054,9.785,0.259,1324,
HATS-9,b,HATS-9 b,Transit,2015,1.915291,266.02371,13.85,0.626,1746,
HD 100546,b,HD 100546 b,Imaging,2014,,239000,77.342,2.84,,
HD 100655,b,HD 100655 b,Radial Velocity,2011,157.57001,511.7063,13.5,1.14,,
HD 100777,b,HD 100777 b,Radial Velocity,2007,383.70001,327.3649,13.8,0.684,,
HD 10180,c,HD 10180 c,Radial Velocity,2010,5.75969,13.22173,3.7,1.43,,
HD 10180,d,HD 10180 d,Radial Velocity,2010,16.357,12.01397,3.49,1.55,,
HD 10180,e,HD 10180 e,Radial Velocity,2010,49.748,25.58532,5.46,0.864,,
HD 10180,f,HD 10180 f,Radial Velocity,2010,122.744,22.94733,5.12,0.939,,
HD 10180,g,HD 10180 g,Radial Velocity,2010,604.67,23.26516,5.16,0.931,,
HD 10180,h,HD 10180 h,Radial Velocity,2010,2205,65.66368,9.5,0.421,,
HD 101930,b,HD 101930 b,Radial Velocity,2005,70.46,79.4575,10.6,0.367,,
HD 102117,b,HD 102117 b,Radial Velocity,2005,20.8133,54.0311,8.47,0.489,,
HD 102195,b,HD 102195 b,Radial Velocity,2006,4.11377,130.3103,14.2,0.25,,
HD 102272,b,HD 102272 b,Radial Velocity,2008,127.58,1570.0802,12.9,4.02,,
HD 102329,b,HD 102329 b,Radial Velocity,2011,778.09998,2593.4928,12.6,7.12,,
HD 102329,c,HD 102329 c,Radial Velocity,2018,1123,483.1016,13.5,1.08,,
HD 102365,b,HD 102365 b,Radial Velocity,2010,122.1,16,4.14,1.24,,
HD 102843,b,HD 102843 b,Radial Velocity,2019,3090.942,113.9,13.1,0.278,,
HD 102956,b,HD 102956 b,Radial Velocity,2010,6.4947,305.1168,13.8,0.638,,
HD 103197,b,HD 103197 b,Radial Velocity,2009,47.84,28.6047,5.83,0.793,,
HD 103720,b,HD 103720 b,Radial Velocity,2014,4.5557,197.046,14.1,0.386,,
HD 103774,b,HD 103774 b,Radial Velocity,2013,5.8881,116,13.3,0.271,,
HD 103949,b,HD 103949 b,Radial Velocity,2019,120.878,11.2,3.35,1.64,,
HD 104067,b,HD 104067 b,Radial Velocity,2009,55.806,50.8528,8.18,0.511,,
HD 10442,b,HD 10442 b,Radial Velocity,2014,1032.3,472.61321,13.6,1.03,,
HD 104985,b,HD 104985 b,Radial Velocity,2003,199.505,2637.9,12.6,7.25,,
HD 106252,b,HD 106252 b,Radial Velocity,2002,1531,2202.5619,12.7,5.91,,
HD 106270,b,HD 106270 b,Radial Velocity,2011,1888,3219.6179,12.5,9.06,,
HD 106315,b,HD 106315 b,Transit,2017,9.55237,12.6,2.44,4.7,1153,240
HD 106315,c,HD 106315 c,Transit,2017,21.05704,15.2,4.35,1.01,886,83
HD 10647,b,HD 10647 b,Radial Velocity,2006,989.2,298.75,13.8,0.625,,
HD 106515 A,b,HD 106515 A b,Radial Velocity,2012,3630,3054.22,12.5,8.59,,
HD 106906,b,HD 106906 b,Imaging,2013,,3496,12.4,10.1,1800,
HD 10697,b,HD 10697 b,Radial Velocity,1999,1075.69,2028.70889,12.7,5.44,,
HD 107148,b,HD 107148 b,Radial Velocity,2005,48.056,66.741,9.6,0.415,,
HD 108147,b,HD 108147 b,Radial Velocity,2002,10.8985,82.95,10.9,0.352,890,
HD 108341,b,HD 108341 b,Radial Velocity,2014,1129,1112.4,13.1,2.72,,
HD 108863,b,HD 108863 b,Radial Velocity,2011,437.7,767.24162,13.3,1.79,,
HD 108874,b,HD 108874 b,Radial Velocity,2002,394.48123,451.3186,13.6,0.986,,
HD 108874,c,HD 108874 c,Radial Velocity,2005,1624,314.64,13.8,0.658,,
HD 109246,b,HD 109246 b,Radial Velocity,2010,68.27,273.3338,13.9,0.559,,
HD 109271,b,HD 109271 b,Radial Velocity,2013,7.8543,17.162,4.31,1.18,,
HD 109271,c,HD 109271 c,Radial Velocity,2013,30.93,24.154,5.27,0.907,,
HD 109749,b,HD 109749 b,Radial Velocity,2005,5.239891,85.8141,11.1,0.345,,
HD 110014,b,HD 110014 b,Radial Velocity,2009,835.477,3524.59,12.4,10.2,,
HD 111232,b,HD 111232 b,Radial Velocity,2003,1143,2269.3062,12.7,6.09,,
HD 111591,b,HD 111591 b,Radial Velocity,2017,1056.4,1398.452,12.9,3.58,,
HD 111998,b,HD 111998 b,Radial Velocity,2016,825.9,1433.4133,12.9,3.67,,
HD 113337,b,HD 113337 b,Radial Velocity,2013,324,899.42,13.2,2.15,,
HD 113538,b,HD 113538 b,Radial Velocity,2010,663.2,114.41,13.2,0.273,,
HD 113538,c,HD 113538 c,Radial Velocity,2010,1818,295.57,13.8,0.618,,
HD 113996,b,HD 113996 b,Radial Velocity,2017,610.2,2002.329,12.7,5.37,,
HD 114386,b,HD 114386 b,Radial Velocity,2003,937.70001,362.3262,13.7,0.774,,
HD 114613,b,HD 114613 b,Radial Velocity,2014,4000,113.46531,13.1,0.277,,
HD 114729,b,HD 114729 b,Radial Velocity,2002,1121.79,262.20975,13.9,0.537,,
HD 114762,b,HD 114762 b,Radial Velocity,1989,83.9151,3397.6027,12.44,9.7,,
HD 114783,b,HD 114783 b,Radial Velocity,2001,493.7,349.6,13.7,0.747,,
HD 114783,c,HD 114783 c,Radial Velocity,2018,4319,194.19413,14.1,0.381,,
HD 11506,b,HD 11506 b,Radial Velocity,2007,1622.1,1535.1189,12.9,3.93,,
HD 11506,c,HD 11506 c,Radial Velocity,2008,223.41,129.67464,14.2,0.249,,
HD 116029,b,HD 116029 b,Radial Velocity,2011,670,444.962,13.6,0.972,,
HD 116029,c,HD 116029 c,Radial Velocity,2018,907,403.6441,13.7,0.863,,
HD 117207,b,HD 117207 b,Radial Velocity,2004,2621.75,612.14058,13.4,1.4,,
HD 11755,b,HD 11755 b,Radial Velocity,2015,433.70001,1789.3829,12.8,4.69,,
HD 117618,b,HD 117618 b,Radial Velocity,2004,25.8,55.30242,8.59,0.479,,
HD 118203,b,HD 118203 b,Radial Velocity,2005,6.1335,886.7457,13.2,2.12,,
HD 11964,b,HD 11964 b,Radial Velocity,2005,1945,198,14.1,0.388,,
HD 11964,c,HD 11964 c,Radial Velocity,2008,37.91,25,5.38,0.882,,
HD 11977,b,HD 11977 b,Radial Velocity,2005,711,2080,12.7,5.58,,
HD 120084,b,HD 120084 b,Radial Velocity,2013,2082,1430.2,12.9,3.66,,
HD 121504,b,HD 121504 b,Radial Velocity,2003,63.33,479.9233,13.6,1.05,,
HD 12484,b,HD 12484 b,Radial Velocity,2016,58.83,947.1334,13.2,2.26,,
HD 125390,b,HD 125390 b,Radial Velocity,2019,1756.2,7043.1128,12,22.4,,
HD 125595,b,HD 125595 b,Radial Velocity,2009,9.6737,6.3566,2.4,2.53,,
HD 125612,b,HD 125612 b,Radial Velocity,2007,557.04,985.273,13.1,2.41,,
HD 125612,c,HD 125612 c,Radial Velocity,2009,4.15514,17.48065,4.36,1.16,,
HD 125612,d,HD 125612 d,Radial Velocity,2009,2835,2313.8024,12.6,6.36,,
HD 12648,b,HD 12648 b,Radial Velocity,2015,133.60001,622.9468,13.4,1.42,,
HD 126525,b,HD 126525 b,Radial Velocity,2018,960.41,75.32571,10.3,0.379,,
HD 12661,b,HD 12661 b,Radial Velocity,2000,262.70862,772.3269,13.3,1.8,,
HD 12661,c,HD 12661 c,Radial Velocity,2002,1708,575.884,13.4,1.32,,
HD 126614,b,HD 126614 b,Radial Velocity,2009,1244,130.3103,14.2,0.25,,
HD 128311,b,HD 128311 b,Radial Velocity,2002,453.019,562.24127,13.5,1.26,,
HD 128311,c,HD 128311 c,Radial Velocity,2005,921.538,1204.25787,13,3.01,,
HD 128356,b,HD 128356 b,Radial Velocity,2016,298.2,282.8687,13.9,0.579,,
HD 129445,b,HD 129445 b,Radial Velocity,2009,1840,508.507,13.5,1.14,,
HD 130322,b,HD 130322 b,Radial Velocity,1999,10.70871,365.49,13.7,0.781,720,
HD 131496,b,HD 131496 b,Radial Velocity,2011,896,572.094,13.4,1.31,,
HD 131664,b,HD 131664 b,Radial Velocity,2008,1951,6076.9096,12.1,18.8,,
HD 13167,b,HD 13167 b,Radial Velocity,2018,2613,1052.0173,13.1,2.57,,
HD 13189,b,HD 13189 b,Radial Velocity,2005,471.60001,3480.2385,12.4,10,,
HD 132406,b,HD 132406 b,Radial Velocity,2007,974,1709.9254,12.8,4.48,,
HD 132563,b,HD 132563 b,Radial Velocity,2011,1544,473.547,13.6,1.03,,
HD 133131 A,b,HD 133131 A b,Radial Velocity,2016,649,451.3186,13.6,0.986,,
HD 133131 A,c,HD 133131 A c,Radial Velocity,2016,3568,133.4886,14.3,0.251,,
HD 133131 B,b,HD 133131 B b,Radial Velocity,2016,5769,794.575,13.3,1.86,,
HD 134060,b,HD 134060 b,Radial Velocity,2019,3.2696,10.1,3.16,1.76,,
HD 134060,c,HD 134060 c,Radial Velocity,2019,1291.5646,29.29,5.91,0.78,,
HD 134987,b,HD 134987 b,Radial Velocity,1999,258.17999,511.7063,13.5,1.14,,
HD 134987,c,HD 134987 c,Radial Velocity,2009,5000,260,13.9,0.532,,
HD 136352,b,HD 136352 b,Radial Velocity,2019,11.5824,4.81,2.04,3.11,,
HD 136352,c,HD 136352 c,Radial Velocity,2019,27.5821,10.8,3.28,1.68,,
HD 136352,d,HD 136352 d,Radial Velocity,2019,107.5983,8.58,2.87,1.99,,
HD 136418,b,HD 136418 b,Radial Velocity,2009,464.29999,680.1562,13.3,1.59,,
HD 13724,b,HD 13724 b,Radial Velocity,2019,14763.405,8508.3091,11.9,27.7,,
HD 137388,b,HD 137388 b,Radial Velocity,2011,330,63.566,9.32,0.431,,
HD 13908,b,HD 13908 b,Radial Velocity,2013,19.382,274.91,13.9,0.562,,
HD 13908,c,HD 13908 c,Radial Velocity,2013,931,1630.4,12.8,4.27,,
HD 13931,b,HD 13931 b,Radial Velocity,2009,4218,699.226,13.3,1.63,,
HD 139357,b,HD 139357 b,Radial Velocity,2008,1125.7,3101.89,12.5,8.73,,
HD 1397,b,HD 1397 b,Transit,2018,11.53533,131.89945,11.5,0.477,1228,356
HD 14067,b,HD 14067 b,Radial Velocity,2014,1455,2479,12.6,6.81,,
HD 141399,b,HD 141399 b,Radial Velocity,2014,94.44,143.34133,14.3,0.269,,
HD 141399,c,HD 141399 c,Radial Velocity,2014,201.99,422.7139,13.6,0.923,,
HD 141399,d,HD 141399 d,Radial Velocity,2014,1069.8,375.0394,13.7,0.801,,
HD 141399,e,HD 141399 e,Radial Velocity,2014,5000,209.7678,14.1,0.411,,
HD 141937,b,HD 141937 b,Radial Velocity,2002,653.21997,3079.7727,12.5,8.66,,
HD 142,b,HD 142 b,Radial Velocity,2001,349.7,397.27,13.7,0.849,,
HD 142,c,HD 142 c,Radial Velocity,2012,6005,1684.4,12.8,4.41,,
HD 142022 A,b,HD 142022 A b,Radial Velocity,2005,1928,1411.1652,12.9,3.61,,
HD 142245,b,HD 142245 b,Radial Velocity,2011,1299,975.7381,13.1,2.39,,
HD 142415,b,HD 142415 b,Radial Velocity,2003,386.29999,530.7761,13.5,1.19,,
HD 143105,b,HD 143105 b,Radial Velocity,2016,2.1974,384.5743,13.7,0.822,,
HD 143361,b,HD 143361 b,Radial Velocity,2008,1039.15,1122.57556,13.1,2.74,,
HD 145377,b,HD 145377 b,Radial Velocity,2008,103.95,1913.3366,12.8,5.01,,
HD 145457,b,HD 145457 b,Radial Velocity,2010,176.3,708.7609,13.3,1.66,,
HD 145934,b,HD 145934 b,Radial Velocity,2015,2730,724.62,13.3,1.69,,
HD 1461,b,HD 1461 b,Radial Velocity,2010,5.77152,6.44,2.42,2.5,,
HD 1461,c,HD 1461 c,Radial Velocity,2015,13.5052,5.59,2.23,2.77,,
HD 147018,b,HD 147018 b,Radial Velocity,2009,44.236,674,13.4,1.54,,
HD 147018,c,HD 147018 c,Radial Velocity,2009,1008,2080,12.7,5.58,,
HD 147379,b,HD 147379 b,Radial Velocity,2017,86.78,28.55,5.82,0.796,,
HD 147513,b,HD 147513 b,Radial Velocity,2003,528.4,385,13.7,0.823,,
HD 14787,b,HD 14787 b,Radial Velocity,2018,676.6,356.28743,13.7,0.761,,
HD 147873,b,HD 147873 b,Radial Velocity,2016,116.596,1633.6462,12.8,4.28,,
HD 147873,c,HD 147873 c,Radial Velocity,2016,491.54,731.009,13.3,1.71,,
HD 148156,b,HD 148156 b,Radial Velocity,2009,1027,270.144,13.9,0.553,,
HD 148164,b,HD 148164 b,Radial Velocity,2018,328.55,390.9309,13.7,0.835,,
HD 148164,c,HD 148164 c,Radial Velocity,2018,5062,1640.0028,12.8,4.3,,
HD 148284,b,HD 148284 b,Radial Velocity,2018,339.331,10710.871,11.8,35.8,,
HD 148427,b,HD 148427 b,Radial Velocity,2009,331.5,413.179,13.6,0.903,,
HD 149026,b,HD 149026 b,Radial Velocity,2005,2.87589,120.7754,8.295,0.75,1626,
HD 149143,b,HD 149143 b,Radial Velocity,2005,4.07182,422.7139,13.6,0.923,,
HD 1502,b,HD 1502 b,Radial Velocity,2011,428.5,874.0325,13.2,2.09,,
HD 150706,b,HD 150706 b,Radial Velocity,2012,5894,861.28,13.2,2.06,,
HD 152079,b,HD 152079 b,Radial Velocity,2009,2918.92,845.74563,13.2,2.02,,
HD 152581,b,HD 152581 b,Radial Velocity,2011,686.5,594.02427,13.4,1.36,,
HD 15337,b,HD 15337 b,Transit,2019,4.75615,7.51,1.64,9.3,1001,
HD 15337,c,HD 15337 c,Transit,2019,17.1784,8.11,2.39,3.23,642,
HD 153950,b,HD 153950 b,Radial Velocity,2008,499.39999,937.5985,13.2,2.24,,
HD 154345,b,HD 154345 b,Radial Velocity,2006,3341.55884,260.6206,13.9,0.533,,
HD 154672,b,HD 154672 b,Radial Velocity,2008,163.94,1706.7471,12.8,4.47,,
HD 154857,b,HD 154857 b,Radial Velocity,2004,408.60001,778.6835,13.3,1.82,,
HD 154857,c,HD 154857 c,Radial Velocity,2014,3452,819.97,13.2,1.96,,
HD 155233,b,HD 155233 b,Radial Velocity,2015,818.8,826.358,13.2,1.97,,
HD 155358,b,HD 155358 b,Radial Velocity,2007,194.3,314.6517,13.8,0.658,,
HD 155358,c,HD 155358 c,Radial Velocity,2007,391.9,261,13.9,0.534,,
HD 156279,b,HD 156279 b,Radial Velocity,2011,131.05,3140.1604,12.5,8.83,,
HD 156279,c,HD 156279 c,Radial Velocity,2018,4191,2733.338,12.6,7.51,,
HD 156411,b,HD 156411 b,Radial Velocity,2009,842.2,235.18,14,0.471,,
HD 156668,b,HD 156668 b,Radial Velocity,2010,4.6455,4.15,1.87,3.49,,
HD 156846,b,HD 156846 b,Radial Velocity,2007,359.51001,3391.2461,12.4,9.77,,
HD 158038,b,HD 158038 b,Radial Velocity,2011,521,486.2799,13.5,1.09,,
HD 158259,b,HD 158259 b,Radial Velocity,2020,2.178,2.22,1.29,6.12,,
HD 158259,c,HD 158259 c,Radial Velocity,2020,3.432,5.6,2.23,2.77,,
HD 158259,d,HD 158259 d,Radial Velocity,2020,5.1980814,5.41,2.18,2.87,,
HD 158259,e,HD 158259 e,Radial Velocity,2020,7.951,6.08,2.34,2.61,,
HD 158259,f,HD 158259 f,Radial Velocity,2020,12.028,6.14,2.35,2.6,,
HD 158996,b,HD 158996 b,Radial Velocity,2018,820.2,4449.62,12.3,13.1,,
HD 159243,b,HD 159243 b,Radial Velocity,2013,12.62,359.13,13.7,0.767,,
HD 159243,c,HD 159243 c,Radial Velocity,2013,248.4,603.9,13.4,1.38,,
HD 159868,b,HD 159868 b,Radial Velocity,2006,1184.1,704.94694,13.3,1.65,,
HD 159868,c,HD 159868 c,Radial Velocity,2012,351,244.09344,14,0.489,,
HD 1605,b,HD 1605 b,Radial Velocity,2015,577.2,296.85322,13.8,0.621,,
HD 1605,c,HD 1605 c,Radial Velocity,2015,2149,1150.5446,13,2.88,,
HD 160691,b,HD 160691 b,Radial Velocity,2000,643.25,532.68308,13.5,1.19,,
HD 160691,c,HD 160691 c,Radial Velocity,2004,4205.8,576.519,13.4,1.32,,
HD 160691,d,HD 160691 d,Radial Velocity,2004,9.6386,10.5547,3.24,1.71,900,
HD 160691,e,HD 160691 e,Radial Velocity,2006,310.55,165.8685,14.2,0.318,,
HD 16141,b,HD 16141 b,Radial Velocity,2000,75.523,82.6358,10.9,0.351,,
HD 16175,b,HD 16175 b,Radial Velocity,2009,990,1620.933,12.8,4.25,,
HD 162020,b,HD 162020 b,Radial Velocity,2002,8.4282,3127.4472,12.5,8.8,,
HD 163607,b,HD 163607 b,Radial Velocity,2010,75.2203,249.05159,13.9,0.51,,
HD 163607,c,HD 163607 c,Radial Velocity,2010,1272,699.54383,13.3,1.63,,
HD 16417,b,HD 16417 b,Radial Velocity,2008,17.24,22.1,5,0.972,,
HD 164509,b,HD 164509 b,Radial Velocity,2010,280.17,140.79869,14.3,0.265,,
HD 164595,b,HD 164595 b,Radial Velocity,2015,40,16.14,4.16,1.23,,
HD 164604,b,HD 164604 b,Radial Velocity,2009,641.472,635,13.4,1.45,,
HD 164922,b,HD 164922 b,Radial Velocity,2005,1207,116,13.3,0.271,159,0.1578
HD 164922,c,HD 164922 c,Radial Velocity,2016,75.74,13,3.66,1.46,401,6.29
HD 164922,d,HD 164922 d,Radial Velocity,2020,12.458,4,1.83,3.59,,
HD 165155,b,HD 165155 b,Radial Velocity,2016,434.5,918.5287,13.2,2.19,,
HD 1666,b,HD 1666 b,Radial Velocity,2015,270,2040,12.7,5.47,,
HD 166724,b,HD 166724 b,Radial Velocity,2012,5144,1121.89,13.1,2.74,,
HD 167042,b,HD 167042 b,Radial Velocity,2007,420.77,540.29,13.5,1.21,,
HD 168443,b,HD 168443 b,Radial Velocity,1998,58.11247,2434.157,12.6,6.69,,
HD 168443,c,HD 168443 c,Radial Velocity,2000,1749.83,5464.221,12.2,16.5,,
HD 168746,b,HD 168746 b,Radial Velocity,2002,6.404,85.8141,11.1,0.345,900,
HD 1690,b,HD 1690 b,Radial Velocity,2010,533,2793.7257,12.5,7.86,,
HD 169830,b,HD 169830 b,Radial Velocity,2000,225.62,915.31,13.2,2.19,345,
HD 169830,c,HD 169830 c,Radial Velocity,2003,2102,1283.98,13,3.21,,
HD 170469,b,HD 170469 b,Radial Velocity,2007,1145,209.7678,14.1,0.411,,
HD 17092,b,HD 17092 b,Radial Velocity,2007,359.89999,3219.6179,12.5,9.06,,
HD 171028,b,HD 171028 b,Radial Velocity,2007,550,832.7146,13.2,1.99,,
HD 171238,b,HD 171238 b,Radial Velocity,2009,1532,864.4976,13.2,2.07,,
HD 17156,b,HD 17156 b,Radial Velocity,2007,21.21663,1115.5833,12.33,3.78,883,
HD 173416,b,HD 173416 b,Radial Velocity,2008,323.6,858.1,13.2,2.05,,
HD 175167,b,HD 175167 b,Radial Velocity,2009,1290,2850.9351,12.5,8.02,,
HD 175541,b,HD 175541 b,Radial Velocity,2007,298.43,190.06234,14.1,0.373,,
HD 175607,b,HD 175607 b,Radial Velocity,2015,29.01,8.98,2.94,1.94,,
HD 17674,b,HD 17674 b,Radial Velocity,2017,623.8,276.5121,13.9,0.566,,
HD 176986,b,HD 176986 b,Radial Velocity,2017,6.4898,5.74,2.26,2.73,,83.5
HD 176986,c,HD 176986 c,Radial Velocity,2017,16.8191,9.18,2.98,1.91,,23.5
